level	name	clickId	url	from_url
2级	客车	5377	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=5377	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=5180
2级	货车	5474	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=5474	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=5180
2级	电动车组	5526	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=5526	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=5180
2级	其他物资	5614	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=5614	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=5180
2级	电气化铁道接触网支柱	4971	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4971	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4970
2级	限界门零配件	5009	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=5009	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4970
2级	接触网设备	5021	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=5021	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4970
2级	接触网零件	5048	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=5048	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4970
2级	回流线及零件	5132	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=5132	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4970
2级	供电零配件	5139	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=5139	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4970
2级	接触网施工、维修工具	5149	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=5149	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4970
2级	钢轨及联结件	4808	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4808	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4807
2级	道岔及配件	4846	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4846	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4807
2级	轨枕及扣件	4871	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4871	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4807
2级	桥梁及配件	4902	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4902	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4807
2级	道砟	4916	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4916	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4807
2级	通用通信整机	4402	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4402	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4401
2级	通用通信配件	4464	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4464	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4401
2级	铁路通信整机	4529	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4529	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4401
2级	铁路通信配件	4597	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4597	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4401
2级	铁路信号整机	4662	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4662	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4401
2级	铁路信号配件	4711	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4711	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4401
2级	计算机及网络设备	3934	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3934	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3933
2级	电子办公设备	4042	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4042	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3933
2级	普通监控设备	4130	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4130	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3933
2级	电子元器件	4182	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4182	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3933
2级	其他电子设备及元器件	4382	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=4382	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3933
2级	工业自动化仪表	2966	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2966	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2965
2级	电工仪器仪表	3252	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3252	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2965
2级	分析测量仪器	3544	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3544	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2965
2级	光学仪器	3654	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3654	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2965
2级	试验机	3676	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3676	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2965
2级	土工测试仪器	3723	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3723	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2965
2级	实验仪器及装置	3732	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3732	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2965
2级	铁路专用仪器仪表及计量器具	3762	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3762	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2965
2级	量具及衡器	3846	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=3846	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2965
2级	牵引供电、变电其他系统及设备	2089	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2089	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2088
2级	通用电气	2260	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2260	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2088
2级	高压变配电装置	2416	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2416	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2088
2级	低压变配电装置	2551	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2551	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2088
2级	电线电缆及附件	2694	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2694	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2088
2级	绝缘子、金具、架线器材	2819	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2819	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2088
2级	绝缘材料及制品	2851	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2851	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2088
2级	电碳制品、蓄电池	2885	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2885	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2088
2级	其他电工器材	2932	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2932	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=2088
2级	机械设备整机	785	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=785	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=766
2级	机械设备配件	1272	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=1272	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=766
2级	标准紧固件	1612	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=1612	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=766
2级	轴承	1688	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=1688	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=766
2级	工具	1786	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=1786	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=766
4级	废棉麻、废纤维制品	742	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=742	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=741
4级	废玻璃、废玻璃制品	743	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=743	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=741
4级	废橡胶制品	744	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=744	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=741
4级	废塑料制品	745	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=745	http://www.sjgtw.com/goodsClass/goodsClassIndex?clickId=741
